eid source target dir capacity speed_mph cost_time tt_user tt_soc
6096 59 14081 1 950 20 1.44026410735 1.87234 1.87234
29662 59 8211 1 1900 30 1.85213206569 2.40777 2.40777
6142 59 14067 1 1900 30 0.873857260949 1.13601 1.13601
18596 60 300 1 950 20 0.362707277092 0.475171 0.475171
29718 60 9430 1 950 20 0.390126388982 0.507164 0.507164
11909 61 51 1 1900 30 0.0544985362738 0.0797988 0.0939671
18065 62 11157 1 1900 30 0.112383486323 0.166453 0.197608
1269 62 11607 1 1900 30 0.123980807969 0.181774 0.16823
29710 63 64 1 950 20 0.0639763759495 0.0831693 0.0831693
6297 63 9430 1 950 20 0.161834751833 0.213671 0.213671
29712 64 66 1 950 20 0.317045098818 0.412159 0.412159
6286 64 63 1 950 20 0.0639763759495 0.0844683 0.0844683
10128 65 11637 1 5400 40 0.106313726858 0.304804 0.277886
6289 66 64 1 950 20 0.317045098818 0.418596 0.418596
6282 66 5196 1 950 20 1.32269445155 1.7195 1.7195
29714 66 9493 1 950 20 16.1205611718 20.9567 20.9567
10724 67 68 1 950 20 0.111605661631 0.145087 0.145108
31764 67 69 1 950 20 0.0545171277631 0.0708723 0.0708723
10720 67 47 1 950 20 0.735206645938 0.955769 0.955769
31762 68 67 1 950 20 0.111605661631 0.145087 0.145088
10722 68 53 1 950 20 0.0219805611565 0.0285747 0.0285747
31756 68 6259 1 950 20 0.639730277854 0.83165 0.831759
10770 69 6256 1 950 20 0.777437374055 1.01067 1.01067
10726 69 67 1 950 20 0.0545171277631 0.0708723 0.0708817
31766 69 53 1 950 20 0.161062720051 0.209382 0.209382
1874 70 1277 1 5400 40 0.326397098827 0.424462 0.424338
6544 71 11225 1 6900 60 0.0832186370402 0.156335 0.16589
81 71 8878 1 8100 40 0.482077602951 0.626721 0.626716
7258 72 14621 1 1900 30 2.70953315771 3.52239 3.52239
36428 72 86 1 1900 30 1.08087078975 1.40513 1.40513
30158 72 351 1 1900 30 0.687649780446 0.893945 0.893945
7292 73 12897 1 950 20 6.50211958262 8.45276 8.45276
35586 73 3845 1 950 20 3.7254862577 4.84313 4.84313
18579 73 510 1 950 20 6.86775362267 8.92808 8.92808
8152 74 10 1 1900 20 0.137751980978 0.179078 0.179078
18461 74 14699 1 5400 40 0.548480978399 0.723055 0.727836
21231 75 8605 1 1900 20 0.038516508835 0.0500715 0.0500715
21235 75 4021 1 1900 30 0.0515710575888 0.0670424 0.0670424
25686 76 356 1 5400 40 0.147944432618 0.193048 0.192929
20871 76 11823 1 1900 30 0.283371166502 0.368553 0.368512
17940 77 81 1 950 20 0.202193563436 0.262856 0.262852
17943 77 8745 1 950 20 0.862013594452 1.12066 1.12064
25744 78 13089 1 950 20 0.054776550436 0.0712095 0.0712095
18602 78 1702 1 950 20 0.27452986289 0.359653 0.359653
29722 78 7375 1 950 20 0.0552103160246 0.0717734 0.0717734
3426 79 12818 1 950 20 0.813141495997 1.05708 1.05708
12344 80 2938 1 1900 30 0.109710679953 0.60768 0.358218
